Curso,Tasa de Aprobacion (%),Promedio de Calificaciones de Examenes (escala 1-10),Comentario sobre el Rendimiento de los Estudiantes
Matematicas,40,4,El rendimiento de los estudiantes es bajo en general.
Historia,45,5,La mayoria de los estudiantes tienen un rendimiento medio.
Ciencias,50,6,Los estudiantes muestran un rendimiento aceptable.
Lengua,42,5,El rendimiento es variable con algunos estudiantes rezagados.
Fisica,35,3,Muchos estudiantes tienen dificultades con el curso.
Quimica,70,7,El rendimiento de los estudiantes es bastante bueno.
Ingles,75,8,Los estudiantes suelen tener un buen rendimiento.
Educacion Fisica,85,7,El rendimiento es alto debido a la naturaleza practica del curso.
Arte,78,7,Los estudiantes demuestran un rendimiento creativo alto.
Tecnologia,68,6,El rendimiento de los estudiantes es bueno en general.
